title,overview,genres,poster_path,vote_average
Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.","Horror, Thriller",/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,8.271
Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","Animation, Family, Comedy, Adventure",/ovGJ69DW9T0nFCw8uDegqCzu9rh.jpg,7.4
Disclosure Day,"A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding.","Science Fiction, Thriller",/9XKXO68h0KGMCQ9ZZEdP0DWfcXS.jpg,6.7
Backrooms,A strange doorway appears in the basement of a furniture showroom.,"Horror, Mystery, Science Fiction",/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,6.8
Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",Comedy,/1KlYdWoOrbL5ux357rW9LC155qw.jpg,5.407
The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.","Comedy, Drama",/fCAURTUx3YfsJ8k9I0UamjSILiR.jpg,7.019
The Furious,"After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.","Action, Crime, Thriller",/mwRspK4RPa5dSYS4Aul8KyZ1qcW.jpg,7.7
Citizen Vigilante,"A man takes justice into his own hands, hunting down criminals. His vigilante crusade makes him a social media star but puts him at odds with the local police chief.","Thriller, Action, Crime",/6LmJD3Wohe0g4U62wgi7RyJqfE4.jpg,6.597
Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,"Horror, Thriller",/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,7.176
Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",Romance,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,7.079
Michael,"The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.","Music, Drama",/zm0KAbOjlt9eR5y7vDiL2dEOwMl.jpg,8.706
Enola Holmes 3,"Adventure follows detective Enola Holmes to Malta, where her plans to tie the knot unravel when Sherlock's disappearance plunges her into a perilous case.","Adventure, Crime, Mystery",/7kRYHH9H9PjBFwz1FprbHB2AAjI.jpg,7.016
Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.","Adventure, Animation, Comedy, Family, Fantasy",/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,6.371
Passenger,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.","Horror, Thriller",/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,5.679
Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.","Science Fiction, Adventure",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,8.675
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama, Crime",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,8.724
The Get Out,"A nightclub owner is on the verge of leaving his dangerous past behind for retirement with his girlfriend. When masked gunmen rob him and he finds himself squeezed by ruthless cartels, a mysterious newcomer arrives with an interest in buying the business. With danger closing in from all sides, he must navigate a deadly web of deception, power, and survival  -  where escape may no longer be an option.","Action, Thriller",/zlkeH0s7dDxcnuPcHBqAyXFUxqN.jpg,6.452
Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.","Action, Fantasy, Adventure",/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,7.98
Damage,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,"Drama, Romance",/alf3JOPP7EYP0iO24gwe5YfRnqo.jpg,6.6
